name,city,state,phone,website,programs,address_found,source
Alpha Omega Church,Miami,FL,305-273-1263,,Champions Club,,No URL provided
Bridgeway Church,Wesley Chapel,FL,813-907-1313,https://www.bridgeway.tv/,"Buddy System, Respite Nights","30660 Wells Rd, Wesley Chapel, FL 33545",regex
Calvario City Church,Orlando,FL,407-351-4151,http://elcalvariobuddybreak.org,"Buddy Break, Respite Nights",,Request error: HTTPConnectionPool(host='elcalvariobuddybreak.org'
Calvary Baptist Church,Melbourne,FL,321-549-7119,http://www.calvarybaptistmelbourne.org/,"Buddy Break, Respite Nights",,Request error: HTTPConnectionPool(host='www.calvarybaptistmelbour
Calvary Chapel Fort Lauderdale,Fort Lauderdale,FL,954-556-4407,https://www.calvaryftl.org/Ministry/Detail/KingsKids,Youth Classes (Kings Kids),,Request error: 404 Client Error: Not Found for url: https://calva
Casa Sobre La Roca,Orlando,FL,407-535-3510,http://casaroca.org/orlando/,"Buddy Break, Respite Nights (Spanish-speaking)","2149 Orinoco Dr, Orlando, FL 32837",HTML element
Christ Fellowship Church,Palm Beach Gardens,FL,561-799-7600,http://gochristfellowship.com/support/special-needs/,"Adult Classes, Youth Classes, Buddy System, ASL Interpretation, Respite Nights","5343 Northlake Blvd, Palm Beach Gandens, FL, 33418",schema.org
Christ Presbyterian Church,Ormond Beach,FL,386-677-4076,http://cpcob.org/?page_id=1044,"Buddy Break, Respite Nights",,Not found
City Church,Sanford,FL,407-321-9600,http://citychurchfl.org,"Buddy Break, Respite Nights",,Request error: 403 Client Error: Forbidden for url: http://citych
Community Life Church,Gulf Breeze,FL,850-916-1660,https://www.clc.life/,"Adult Classes, Prom","4115 Soundside Dr, Gulf Breeze, FL 32563",regex
CrossLife Church,Oviedo,FL,407-365-3484,http://crosslifechurch.com,"Buddy Break, Respite Nights","2025 CrossLife Church  Privacy Policy   Terms of Use Choose Your Maps App 45 West Broadway St. Oviedo, FL 32765",regex
Deermeadows Baptist Church,Jacksonville,FL,904-302-9766,http://deermeadows.org,"Buddy Break, Respite Nights","9780 Baymeadows Rd, Jacksonville, FL",regex
Edgewater United Methodist Church,Port Charlotte,FL,941-625-3039,http://www.edgewaterchurch.com,"Buddy Break, Respite Nights",Home Plan a Visit Calendar Give About Edgewater Starting Point Thrift Store Serving Opportunities Missions and Outreach What We Believe Meet The Staff Ministry Groups Edgewater Kids Edgewater Student Ministry Edgewater Young Adult Ministry Woman's Ministry - W.O.W Men's Ministry - W.O.W Celebrate Recovery Watch Live Stream Past Sermons Instagram Facebook Youtube Spotify Sunday | 9 & 11 AM Get Directions Home About Edgewater Make Plans to Attend Starting Point Fellowship Night Thrift Store Missions Meet the Staff What We Believe Ministry Groups Kids Ministry Student Ministry Young Adult Ministry Women’s Ministry – W.O.W Men’s Ministry – B.O.B Celebrate Recovery Calendar Serve Watch Live Stream Past Sermons Give Home About Edgewater Make Plans to Attend Starting Point Fellowship Night Thrift Store Missions Meet the Staff What We Believe Ministry Groups Kids Ministry Student Ministry Young Adult Ministry Women’s Ministry – W.O.W Men’s Ministry – B.O.B Celebrate Recovery Calendar Serve Watch Live Stream Past Sermons Give,HTML element
First Baptist Church Windermere,Windermere,FL,407-579-0489,http://www.FBCWindermere.com,"Buddy Break, Respite Nights",,"Request error: HTTPConnectionPool(host='www.fbcwindermere.com', p"
First Presbyterian Church of Eustis,Eustis,FL,352-357-2833,http://www.fpceustis.com,"Buddy Break, Respite Nights","117 South Center Street, Eustis, FL, 32726",schema.org
Iglesia Cristiana de Adoracion A.D.,Orlando,FL,407-658-8506,http://www.icaorl.org/,"Buddy Break, Respite Nights (Spanish-speaking)","2025 Iglesia Cristiana De Adoración. 
 Church  Word",regex
Iglesia de Dios Camino Verdad y Vida,Orlando,FL,407-610-0599,http://iglesiadedioscaminoverdadyvida.com/,"Buddy Break, Respite Nights (Spanish-speaking)",,Request error: HTTPConnectionPool(host='iglesiadedioscaminoverdad
